ProjectId;depVarName';indepVarName;b;se;t;pvalue;dfl;dfu;Nobs;F;Prob>F;RMSE;R2;RSS;MSS;train_rmse;train_mae;train_mape;valid_rmse;valid_mae;valid_mape;
28;Total_Effort_Minutes;Subjectivity_Score;.00225505;.00031562;7.1447342;6.955e-12;.00163392;.00287619;295;149.58779;4.550e-28;.03935001;.64912611;.45368811;.83933517;.06705404;.030809;2649.4431;.05922263;.02850797;151.3201;
28;Bugs;Subjectivity_Score;.4259222;.04625678;9.2077795;6.097e-18;.33489087;.51695352;296;167.96404;1.082e-30;10.757312;.59246404;34021.607;49459.632;13.127292;8.2129116;102.18254;11.42448;7.8602986;111.3734;
28;Stories;Subjectivity_Score;2.0233816;.07091407;28.532866;3.259e-87;1.8838258;2.1629374;296;1384.4253;3.13e-113;19.903144;.90183038;116463.73;1069888.2;21.985336;14.944045;56.311935;18.846047;13.396502;71.077995;
28;Improvements;Subjectivity_Score;.17541627;.04030813;4.3518828;.00001857;.09609162;.25474093;294;28.593883;1.804e-07;7.3149775;.18059242;15624.598;3443.5657;10.175221;6.0836854;72.729095;10.011005;6.2510147;55.539185;
28;Technical_Tasks;Subjectivity_Score;.03082261;.0139667;2.2068633;.02808587;.00333674;.05830847;294;3.130532;.0778824;2.448992;.01553582;1751.2881;27.637057;7.173662;1.8474332;.;2.3701744;1.0221311;.;
28;Efficiency_Index;Subjectivity_Score;-.00537196;.00497839;-1.079054;.28143628;-.01516922;.00442531;299;4.9075963;.02749725;.09871086;.01698084;2.8939188;.04999005;2.5661484;.17308503;649.80652;.01762122;.01491651;838.88995;
28;Improvement_Ratio;Subjectivity_Score;.00012033;.00018442;.6524472;.51461568;-.00024261;.00048326;295;6.3599539;.01220253;.07724692;.01801351;1.7483564;.03207176;.10917542;.06747881;79.259476;.10486145;.06740132;52.79715;
28;Velocity;Subjectivity_Score;-.00310057;.00072814;-4.2582396;.00002765;-.00453351;-.00166764;293;19.091389;.00001735;.26006029;.04955611;19.680725;1.0261523;.46574644;.23595278;70.441689;.41454435;.22245479;79.724464;
28;Assignee_Workload;Subjectivity_Score;.23531111;.01355107;17.364766;3.768e-47;.2086432;.26197902;293;410.83336;1.426e-57;4.2931464;.72631393;5363.4519;14233.643;5.9857189;3.6067483;44.840462;9.3858072;4.3981133;31.385303;
28;Reporter_Activity_Ratio;Subjectivity_Score;.23631316;.01967567;12.010425;2.283e-27;.19759229;.27503402;292;353.61149;3.949e-52;5.1908266;.62356484;7813.9575;12943.82;8.1133823;4.3826227;44.881416;7.2789725;3.8090398;33.132286;
28;Bug_Density;Subjectivity_Score;-.00027345;.00021235;-1.2877342;.19883762;-.00069133;.00014444;294;1.9225745;.16663082;.05331204;.00500183;.82991472;.00417196;.1234831;.04663153;130.17139;.17807328;.06445768;171.88271;
